Training...
Step 4 | Train Loss: 1.4360 | last_energy: 0.10985275357961655
Step 8 | Train Loss: 1.3803 | last_energy: 0.09389466047286987
Step 12 | Train Loss: 1.1508 | last_energy: -0.16597801446914673
Step 16 | Train Loss: 0.7713 | last_energy: -3.0381648540496826
Step 20 | Train Loss: 0.6252 | last_energy: -9.75562858581543
Step 24 | Train Loss: 0.5258 | last_energy: -16.933326721191406
Step 28 | Train Loss: 0.3875 | last_energy: -22.758270263671875
Step 32 | Train Loss: 0.3871 | last_energy: -25.834999084472656
Step 36 | Train Loss: 0.5057 | last_energy: -27.708160400390625
Step 40 | Train Loss: 0.4211 | last_energy: -27.97309112548828
Step 44 | Train Loss: 0.4776 | last_energy: -25.98469352722168
Step 48 | Train Loss: 0.4375 | last_energy: -23.8402099609375
Step 52 | Train Loss: 0.3562 | last_energy: -21.894638061523438
Step 56 | Train Loss: 0.3388 | last_energy: -20.00110626220703
Step 60 | Train Loss: 0.3606 | last_energy: -18.55762481689453
Step 64 | Train Loss: 0.3425 | last_energy: -17.96529769897461
Step 68 | Train Loss: 0.3591 | last_energy: -17.52195930480957
Step 72 | Train Loss: 0.3293 | last_energy: -17.18051528930664
Step 76 | Train Loss: 0.2999 | last_energy: -16.907487869262695
Step 80 | Train Loss: 0.3609 | last_energy: -17.642135620117188
Step 84 | Train Loss: 0.3279 | last_energy: -15.7393798828125
Step 88 | Train Loss: 0.3427 | last_energy: -17.019174575805664
Step 92 | Train Loss: 0.3145 | last_energy: -15.24577522277832
Step 96 | Train Loss: 0.3036 | last_energy: -15.414052963256836
Step 100 | Train Loss: 0.3396 | last_energy: -15.484635353088379
Step 104 | Train Loss: 0.3269 | last_energy: -15.85934066772461
Step 108 | Train Loss: 0.2909 | last_energy: -15.64598560333252
Step 112 | Train Loss: 0.2733 | last_energy: -14.439874649047852
Step 116 | Train Loss: 0.2642 | last_energy: -17.065677642822266
Step 120 | Train Loss: 0.3340 | last_energy: -17.39079475402832
Step 124 | Train Loss: 0.2943 | last_energy: -14.333985328674316
Step 128 | Train Loss: 0.2593 | last_energy: -19.155410766601562
Step 132 | Train Loss: 0.2444 | last_energy: -19.21335220336914
Step 136 | Train Loss: 0.2849 | last_energy: -16.290767669677734
Step 140 | Train Loss: 0.3203 | last_energy: -20.620845794677734
Step 144 | Train Loss: 0.3176 | last_energy: -20.504365921020508
Step 148 | Train Loss: 0.2882 | last_energy: -19.383480072021484
Step 152 | Train Loss: 0.2911 | last_energy: -20.203481674194336
Step 156 | Train Loss: 0.2912 | last_energy: -21.70530128479004
Step 160 | Train Loss: 0.2968 | last_energy: -22.11593246459961
Step 164 | Train Loss: 0.2923 | last_energy: -18.642192840576172
Step 168 | Train Loss: 0.2813 | last_energy: -20.72739028930664
Step 172 | Train Loss: 0.2693 | last_energy: -22.147518157958984
Step 176 | Train Loss: 0.2682 | last_energy: -20.53970718383789
Step 180 | Train Loss: 0.2796 | last_energy: -19.43039321899414
Step 184 | Train Loss: 0.2864 | last_energy: -19.43667984008789
Step 188 | Train Loss: 0.3060 | last_energy: -21.062728881835938
Step 192 | Train Loss: 0.2885 | last_energy: -20.264850616455078
Step 196 | Train Loss: 0.2462 | last_energy: -21.15999984741211
Step 200 | Train Loss: 0.2685 | last_energy: -22.580543518066406
Saved checkpoint: ./checkpoints/ebt.pth
Step 204 | Train Loss: 0.2754 | last_energy: -21.324413299560547
Step 208 | Train Loss: 0.2430 | last_energy: -20.170562744140625
