Training...
Step 4 | Train Loss: 0.5916 | last_energy: 0.10457207262516022
Step 8 | Train Loss: 0.5759 | last_energy: 0.10017409175634384
Step 12 | Train Loss: 0.4573 | last_energy: -0.18429523706436157
Step 16 | Train Loss: 0.2535 | last_energy: -4.170538425445557
Step 20 | Train Loss: 0.1850 | last_energy: -16.228172302246094
Step 24 | Train Loss: 0.2017 | last_energy: -34.84490203857422
Step 28 | Train Loss: 0.1756 | last_energy: -55.59912109375
Step 32 | Train Loss: 0.1731 | last_energy: -75.00828552246094
Step 36 | Train Loss: 0.1880 | last_energy: -91.3475341796875
Step 40 | Train Loss: 0.1487 | last_energy: -104.17982482910156
Step 44 | Train Loss: 0.1585 | last_energy: -113.79331970214844
Step 48 | Train Loss: 0.1678 | last_energy: -120.78572845458984
Step 52 | Train Loss: 0.1645 | last_energy: -125.76380920410156
Step 56 | Train Loss: 0.1661 | last_energy: -129.21829223632812
Step 60 | Train Loss: 0.1740 | last_energy: -131.62057495117188
Step 64 | Train Loss: 0.1906 | last_energy: -133.26373291015625
Step 68 | Train Loss: 0.1958 | last_energy: -134.371337890625
Step 72 | Train Loss: 0.1710 | last_energy: -135.1124267578125
Step 76 | Train Loss: 0.1758 | last_energy: -135.60122680664062
Step 80 | Train Loss: 0.1764 | last_energy: -135.92709350585938
Step 84 | Train Loss: 0.1746 | last_energy: -136.11517333984375
Step 88 | Train Loss: 0.1639 | last_energy: -136.26443481445312
Step 92 | Train Loss: 0.1679 | last_energy: -136.3349609375
Step 96 | Train Loss: 0.1716 | last_energy: -136.36679077148438
Step 100 | Train Loss: 0.1782 | last_energy: -136.39987182617188
Step 104 | Train Loss: 0.1662 | last_energy: -136.38926696777344
Step 108 | Train Loss: 0.1998 | last_energy: -136.37091064453125
Step 112 | Train Loss: 0.1638 | last_energy: -136.35888671875
Step 116 | Train Loss: 0.1643 | last_energy: -136.33541870117188
Step 120 | Train Loss: 0.1467 | last_energy: -136.30224609375
Step 124 | Train Loss: 0.1514 | last_energy: -136.2700653076172
Step 128 | Train Loss: 0.2134 | last_energy: -136.24072265625
Step 132 | Train Loss: 0.1546 | last_energy: -136.20529174804688
Step 136 | Train Loss: 0.1619 | last_energy: -136.17819213867188
Step 140 | Train Loss: 0.2049 | last_energy: -136.14614868164062
Step 144 | Train Loss: 0.1902 | last_energy: -136.12490844726562
Step 148 | Train Loss: 0.1862 | last_energy: -136.07272338867188
Step 152 | Train Loss: 0.1877 | last_energy: -136.0286865234375
Step 156 | Train Loss: 0.1445 | last_energy: -135.98895263671875
Step 160 | Train Loss: 0.1866 | last_energy: -135.9722442626953
Step 164 | Train Loss: 0.2101 | last_energy: -135.93466186523438
Step 168 | Train Loss: 0.1662 | last_energy: -135.92286682128906
Step 172 | Train Loss: 0.1713 | last_energy: -135.8800506591797
Step 176 | Train Loss: 0.1664 | last_energy: -135.84210205078125
Step 180 | Train Loss: 0.1595 | last_energy: -135.7965087890625
